,time,open,high,low,close,volume,MA50,MA200,sup,Buy_signal,Sell_signal
886,2016-07-29,34080,35590,33770,35290,342350,37038.8,28244.75,39111.55448,0,0
887,2016-08-01,36190,36500,35290,36190,157810,37081,28288.55,39111.55448,0,0
888,2016-08-02,34980,35890,34980,35890,505680,37117.2,28332.3,39111.55448,0,0
889,2016-08-03,35290,35890,34980,35590,340370,37135.2,28373.65,39111.55448,0,0
890,2016-08-04,36190,36500,35890,35890,284210,37165.4,28416.25,39111.55448,0,0
891,2016-08-05,35890,36500,35890,35890,242360,37201.6,28459.4,39111.55448,0,0
892,2016-08-08,35890,36500,35590,36500,233810,37244,28506.45,39111.55448,0,0
893,2016-08-09,36790,37400,36500,37100,155570,37262.2,28557.1,39111.55448,0,0
894,2016-08-10,37100,37400,36790,37400,282640,37286.4,28609.25,39111.55448,0,0
895,2016-08-11,36790,37400,36500,37400,328430,37292.4,28660.25,39111.55448,0,0
896,2016-08-12,38610,39520,38000,38000,485930,37322.4,28715.15,39111.55448,0,0
897,2016-08-15,38000,38910,38000,38610,261300,37364.6,28774.85,39111.55448,0,0
898,2016-08-16,38910,39210,38000,38310,398420,37388.8,28832.7,39111.55448,0,0
899,2016-08-17,38310,38610,38000,38310,416560,37425,28889.4,39111.55448,0,0
900,2016-08-18,38310,38310,37100,37400,395590,37425,28941.3,39111.55448,0,0
901,2016-08-19,38310,39520,37700,38910,666770,37473.2,29001,39111.55448,0,0
902,2016-08-22,38910,40120,38910,39520,462840,37539.8,29063.75,35814.94037,1,0
903,2016-08-23,38910,38910,38000,38310,280550,37582.2,29118.15,35814.94037,0,0
904,2016-08-24,38310,38910,38310,38310,212080,37606.4,29171.1,35814.94037,0,0
905,2016-08-25,38000,38310,37100,37400,334400,37630.6,29220.95,35814.94037,0,0
906,2016-08-26,38000,38310,37400,38310,151110,37679,29276.8,35814.94037,0,0
907,2016-08-29,38000,38610,38000,38000,201650,37697,29333.95,35814.94037,0,0
908,2016-08-30,37400,38910,37400,38910,328260,37745.2,29396.25,35814.94037,0,0
909,2016-08-31,38610,38910,38310,38610,361250,37787.4,29459.95,35814.94037,0,0
